"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"27-MAY-2024","LUMAXTECH","Lumax Auto Technologies L","ALBULA INVESTMENT FUND LTD","SELL","6,06,000","478.00","-"
"27-MAY-2024","LUMAXTECH","Lumax Auto Technologies L","AMARA PARTNERS GROWTH FUND I","BUY","6,06,000","478.00","-"
"04-JUN-2024","HGS","Hinduja Global Sols Ltd","AASIA EXPORTS","SELL","11,60,000","804.00","-"
"04-JUN-2024","HGS","Hinduja Global Sols Ltd","HINDUJA GROUP LIMITED","BUY","11,60,000","804.00","-"
"06-JUN-2024","PONNIERODE","Ponni Sugars (Erode) Limi","EMPLOYEES RETIREMENT PLAN OF DUKE UNIVERSITY","SELL","19,000","422.00","-"
"06-JUN-2024","PONNIERODE","Ponni Sugars (Erode) Limi","GOTHIC CORPORATION","SELL","2,73,000","422.00","-"
"06-JUN-2024","PONNIERODE","Ponni Sugars (Erode) Limi","GOTHIC HSP CORPORATION","SELL","53,000","422.00","-"
"06-JUN-2024","PONNIERODE","Ponni Sugars (Erode) Limi","SESHASAYEE PAPER AND BOARDS LIMITED","BUY","4,20,000","422.00","-"
"06-JUN-2024","PONNIERODE","Ponni Sugars (Erode) Limi","THE DUKE ENDOWMENT","SELL","75,000","422.00","-"
"11-JUN-2024","IWEL","Inox Wind Energy Limited","ANJANA PROJECTS PRIVATE LIMITED","SELL","40,000","7,169.00","-"
"11-JUN-2024","IWEL","Inox Wind Energy Limited","INDIA OPPORTUNITIES GROWTH FUND LTD PINEWOOD STRATEGY","BUY","40,000","7,169.00","-"
"11-JUN-2024","RRKABEL","R R Kabel Limited","KIRTIDEVI SHREEGOPAL KABRA","SELL","58,000","1,750.00","-"
"11-JUN-2024","RRKABEL","R R Kabel Limited","RAM RATNA INFRASTRUCTURE PVT LTD","BUY","58,000","1,750.00","-"
